Date,Centre_Name,Commodity_Name,Price
20-01-09,LUDHIANA,Wheat,NA
20-01-09,LUCKNOW,Wheat,NA
20-01-09,DEHRADUN,Wheat,NA
20-01-09,RAIPUR,Wheat,NA
20-01-09,AHMEDABAD,Wheat,NA
20-01-09,BHOPAL,Wheat,NA
20-01-09,MUMBAI,Wheat,NA
20-01-09,JAIPUR,Wheat,NA
20-01-09,PATNA,Wheat,NA
20-01-09,RANCHI,Wheat,NA
20-01-09,BHUBANESHWAR,Wheat,1220
20-01-09,KOLKATA,Wheat,NA
20-01-09,GUWAHATI,Wheat,NA
20-01-09,SHILLONG,Wheat,NA
20-01-09,AIZWAL,Wheat,NA
20-01-09,KOHIMA,Wheat,NA
20-01-09,AGARTALA,Wheat,NA
20-01-09,BENGALURU,Wheat,NA
20-01-09,T.PURAM,Wheat,NA
20-01-09,CHENNAI,Wheat,1540
20-01-09,HYDERABAD,Wheat,NA
21-01-09,CHANDIGARH,Wheat,NA
21-01-09,DELHI,Wheat,1180
21-01-09,SHIMLA,Wheat,NA
21-01-09,SRINAGAR,Wheat,NA
21-01-09,JAMMU,Wheat,NA
21-01-09,AMRITSAR,Wheat,NA
21-01-09,LUDHIANA,Wheat,NA
21-01-09,LUCKNOW,Wheat,NA
21-01-09,DEHRADUN,Wheat,NA
21-01-09,RAIPUR,Wheat,NA
21-01-09,AHMEDABAD,Wheat,NA
21-01-09,BHOPAL,Wheat,NA
21-01-09,MUMBAI,Wheat,NA
21-01-09,JAIPUR,Wheat,1200
21-01-09,PATNA,Wheat,NA
21-01-09,RANCHI,Wheat,NA
21-01-09,BHUBANESHWAR,Wheat,1220
21-01-09,KOLKATA,Wheat,NA
21-01-09,GUWAHATI,Wheat,NA
21-01-09,SHILLONG,Wheat,NA
21-01-09,AIZWAL,Wheat,NA
21-01-09,KOHIMA,Wheat,NA
21-01-09,AGARTALA,Wheat,NA
21-01-09,BENGALURU,Wheat,1700
21-01-09,T.PURAM,Wheat,NA
21-01-09,CHENNAI,Wheat,NA
21-01-09,HYDERABAD,Wheat,NA
22-01-09,CHANDIGARH,Wheat,NA
22-01-09,DELHI,Wheat,1180
22-01-09,SHIMLA,Wheat,NA
22-01-09,SRINAGAR,Wheat,NA
22-01-09,JAMMU,Wheat,NA
22-01-09,AMRITSAR,Wheat,1000
22-01-09,LUDHIANA,Wheat,1100
22-01-09,LUCKNOW,Wheat,NA
22-01-09,DEHRADUN,Wheat,NA
22-01-09,RAIPUR,Wheat,NA
22-01-09,AHMEDABAD,Wheat,NA
22-01-09,BHOPAL,Wheat,NA
22-01-09,MUMBAI,Wheat,NA
22-01-09,JAIPUR,Wheat,1200
22-01-09,PATNA,Wheat,NA
22-01-09,RANCHI,Wheat,NA
22-01-09,BHUBANESHWAR,Wheat,1220
22-01-09,KOLKATA,Wheat,NA
22-01-09,GUWAHATI,Wheat,NA
22-01-09,SHILLONG,Wheat,NA
22-01-09,AIZWAL,Wheat,NA
22-01-09,KOHIMA,Wheat,NA
22-01-09,AGARTALA,Wheat,NA
22-01-09,BENGALURU,Wheat,1700
22-01-09,T.PURAM,Wheat,NA
22-01-09,CHENNAI,Wheat,1540
22-01-09,HYDERABAD,Wheat,NA
23-01-09,CHANDIGARH,Wheat,NA
23-01-09,DELHI,Wheat,1190
23-01-09,SHIMLA,Wheat,NA
23-01-09,SRINAGAR,Wheat,NA
23-01-09,JAMMU,Wheat,NA
23-01-09,AMRITSAR,Wheat,1000
23-01-09,LUDHIANA,Wheat,1100
23-01-09,LUCKNOW,Wheat,NA
23-01-09,DEHRADUN,Wheat,NA
23-01-09,RAIPUR,Wheat,NA
23-01-09,AHMEDABAD,Wheat,NA
23-01-09,BHOPAL,Wheat,NA
23-01-09,MUMBAI,Wheat,NA
23-01-09,JAIPUR,Wheat,NA
23-01-09,PATNA,Wheat,NA
23-01-09,RANCHI,Wheat,NA
23-01-09,BHUBANESHWAR,Wheat,NA
